Projectnummer;LAM MK;Building FID;Opdrachtnummer Extern;Status Omschrijving;Blok;Cluster NR;Straat;Huisnummer;Huisnummer Toevoeging;Wall Mount;SS Reason;Height Cable;Number Floors;Building comment;Quadrant;Kamer;Seq;Plaats;BUILDING KEY;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Status;SSV Completed;xPos;yPos;SSV Date;TSA NEEDED;TSA SENT;TSA SIGNED;Surveyor;Opdrachttemplate;SYNDIC NAME;SYNDIC ADDRESS;SYNDIC ZIPCODE;SYNDIC CITY;SYNDIC PHONE;SYNDIC DATE;SYNDIC EMAIL;SYNDIC INTERNAL REF;BG Name;SSV COMPLETED DATE
ANTWERPEN-WEST - FH11;2062536;684323;;Site Survey;BL1110;;Waalsekaai;21;;Y;NA;3;4;_;;;;Antwerpen;2062536;MDU;1;3;0;4;Site Survey;;151528;211258;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;6082706;33498391;;Site Survey;BL1107;;IJzerenpoortkaai;11;;Y;NA;4;2;;;;;Antwerpen;6082706;SDU;0;1;0;1;Site Survey;;151410;211127;;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1028394;611186;;Site Survey;BL1119;;Bolivarplaats;1;;Y;NA;3;5;_;;;;Antwerpen;1028394;MDU;3;0;0;3;Site Survey;;151350;210581;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2062537;684324;;Site Survey;BL1108;;Waalsekaai;25;;Y;NA;5;4;_;;;;Antwerpen;2062537;MDU;2;0;0;2;Site Survey;;151448;211212;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;15/05/2020
ANTWERPEN-WEST - FH11;6086676;33498912;;Site Survey;BL1102;;Waalsekaai;65;;Y;NA;4;2;;;;;Antwerpen;6086676;SDU;0;1;0;1;Site Survey;;151216;210847;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1101504;613044;;Site Survey;BL1102;;Waalsekaai;56;;Y;NA;4;3;Review Required;;;;Antwerpen;1101504;MDU;1;2;0;3;Site Survey;;151269;210921;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;4/05/2020
ANTWERPEN-WEST - FH11;2062539;684325;;Site Survey;BL1108;;Waalsekaai;27;;Y;NA;5;4;_;;;;Antwerpen;2062539;MDU;2;1;1;4;Site Survey;;151452;211186;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;15/05/2020
ANTWERPEN-WEST - FH11;6308529;33498400;;Site Survey;BL1120;;Jan van Gentstraat;20;;Y;NA;4;2;;;;;Antwerpen;6308529;SDU;0;1;0;1;Site Survey;;151305;210578;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1101513;613045;;Site Survey;BL1103;;Schalienstraat;1;;N;IRREG;0;7;;XA;;;Antwerpen;1101513;MDU;2;27;0;29;Site Survey;Y;151171;210945;17/03/2020 12:30;Y;;;Steffen Verhofsté;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2062541;684326;;Site Survey;BL1107;;Waalsekaai;30;;Y;NA;3;4;_;;;;Antwerpen;2062541;MDU;0;4;0;4;Site Survey;;151426;211152;;;;;Geert Stockman;BUILDING template;;;;;;;;;;3/05/2020
ANTWERPEN-WEST - FH11;6326563;33498557;;Site Survey;BL1102;;Schalienstraat;34;A;Y;NA;4;2;;;;;Antwerpen;6326563;SDU;0;1;0;1;Site Survey;;151240;210929;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;NB-200022e3b404;;;Site Survey;;;Cockerillkaai;22;;Y;NA;4;4;_;;;;Antwerpen;NB-200022e3b404;SDU;0;1;0;1;Site Survey;;151439;211271;15/05/2020;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1101514;23249808;;Site Survey;BL1102;;Waalsekaai;62;;Y;NA;4;2;;;;;Antwerpen;1101514;SDU;0;1;0;1;Site Survey;;151222;210863;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2062542;684327;;Site Survey;BL1107;;Waalsekaai;31;;Y;NA;3;4;_;;;;Antwerpen;2062542;MDU;0;2;0;2;Site Survey;;151424;211146;;;;;Geert Stockman;BUILDING template;;;;;;;;;;3/05/2020
ANTWERPEN-WEST - FH11;6330869;33498808;;Site Survey;BL1105;;Waalsekaai;38;A;Y;NA;4;2;;;;;Antwerpen;6330869;SDU;0;1;0;1;Site Survey;;151359;211064;;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1101716;613058;;Site Survey;BL1118;;Gijzelaarsstraat;56;;Y;NA;3;4;_;;;;Antwerpen;1101716;MDU;0;4;0;4;Site Survey;;151368;210718;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;2062543;684328;;Site Survey;BL1107;;Waalsekaai;32;;Y;NA;3;5;_;;;;Antwerpen;2062543;MDU;1;4;0;5;Site Survey;;151419;211142;;;;;Geert Stockman;BUILDING template;;;;;;;;;;3/05/2020
ANTWERPEN-WEST - FH11;6339520;33498585;;Site Survey;BL1103;;Verviersstraat;4;A;Y;NA;4;2;;;;;Antwerpen;6339520;SDU;0;1;0;1;Site Survey;;151272;210991;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1101816;613075;;Site Survey;BL1112;;Graaf van Egmontstraat;8;;Y;NA;3;3;_;;;;Antwerpen;1101816;MDU;1;2;0;3;Site Survey;;151755;211319;;;;;Geert Stockman;BUILDING template;;;;;;;;;;1/05/2020
ANTWERPEN-WEST - FH11;2062544;684329;;Site Survey;BL1107;;Waalsekaai;33;;Y;NA;3;4;_;;;;Antwerpen;2062544;MDU;2;1;0;3;Site Survey;;151415;211137;;;;;Geert Stockman;BUILDING template;;;;;;;;;;3/05/2020
ANTWERPEN-WEST - FH11;6362488;33498392;;Site Survey;BL1121;;Jan van Gentstraat;2;A;Y;NA;4;2;;;;;Antwerpen;6362488;SDU;0;1;0;1;Site Survey;;151270;210673;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1160389;614343;;Site Survey;BL1121;;Gentplaats;4;;Y;NA;4;3;_;;;;Antwerpen;1160389;MDU;1;2;0;3;Site Survey;;151267;210677;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;2062546;684330;;Site Survey;BL1105;;Waalsekaai;37;;Y;NA;3;4;_;;;;Antwerpen;2062546;MDU;1;3;0;4;Site Survey;;151364;211066;;;;;Geert Stockman;BUILDING template;;;;;;;;;;3/05/2020
ANTWERPEN-WEST - FH11;6399232;33498429;;Site Survey;BL1110;;Leuvenstraat;23;;Y;NA;4;2;;;;;Antwerpen;6399232;SDU;0;1;0;1;Site Survey;;151512;211368;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1277343;615502;;Site Survey;BL1114;;Verlatstraat;6;;Y;NA;4;2;;;;;Antwerpen;1277343;SDU;1;0;0;1;Site Survey;;151637;211168;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;2062547;684331;;Site Survey;BL1105;;Waalsekaai;40;;Y;NA;3;5;_;;;;Antwerpen;2062547;MDU;1;31;1;33;Site Survey;;151353;211056;;;;;Geert Stockman;BUILDING template;Immo Zuid;;;;473519298;3/05/2020;kim_vernimmen@hotmail.com;;;3/05/2020
ANTWERPEN-WEST - FH11;6399823;33498352;;Site Survey;BL1109;;Cockerillkaai;24;;N;IRREG;4;7;_;;;;Antwerpen;6399823;MDU;0;1;0;1;Site Survey;;151433;211264;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;BG Cockerillkaai 23-24_Wapenstraat 1;
ANTWERPEN-WEST - FH11;NB-200023418b03;;;Site Survey;;;Cockerillkaai;23;;N;HEIGHT;;7;_;;;;Antwerpen;NB-200023418b03;MDU;1;6;1;8;Site Survey;;151433;211263;15/05/2020;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1288039;615639;;Site Survey;BL1112;;Graaf van Egmontstraat;40;;Y;NA;3;4;_;;;;Antwerpen;1288039;MDU;0;4;0;4;Site Survey;;151759;211203;;;;;Geert Stockman;BUILDING template;;;;;;;;;;1/05/2020
ANTWERPEN-WEST - FH11;2062548;14151242;;Site Survey;BL1104;;Waalsekaai;47;;Y;NA;4;5;_;;;;Antwerpen;2062548;SDU;1;0;0;1;Site Survey;;151301;211029;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;6431223;33498385;;Site Survey;BL1119;;Gijzelaarsstraat;60;A;Y;NA;4;2;;;;;Antwerpen;6431223;SDU;0;1;0;1;Site Survey;;151367;210682;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1289945;14151211;;Site Survey;BL1112;;Vorstermanstraat;5;;Y;NA;3;4;_;;;;Antwerpen;1289945;MDU;0;10;1;11;Site Survey;;151726;211245;;;;;Geert Stockman;BUILDING template;03beheer/colpaert;Belgielei 182;2000;Antwerpen;03 239 34 30;1/05/2020;;;;1/05/2020
ANTWERPEN-WEST - FH11;2062551;14151243;;Site Survey;BL1102;;Waalsekaai;57;;Y;NA;4;3;_;;;;Antwerpen;2062551;SDU;1;0;0;1;Site Survey;;151262;210916;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;4/05/2020
ANTWERPEN-WEST - FH11;6443039;33498469;;Site Survey;BL1102;;Namenstraat;7;A;Y;NA;4;2;;;;;Antwerpen;6443039;SDU;0;1;0;1;Site Survey;;151168;210894;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1303250;615957;;Site Survey;BL1112;;Graaf van Egmontstraat;24;;Y;NA;3;5;_;;;;Antwerpen;1303250;MDU;0;5;0;5;Site Survey;;151758;211248;;;;;Geert Stockman;BUILDING template;Syncura;;;;;1/05/2020;;;;1/05/2020
ANTWERPEN-WEST - FH11;2062553;684332;;Site Survey;BL1102;;Waalsekaai;59;;Y;NA;4;5;_;;;;Antwerpen;2062553;MDU;1;3;0;4;Site Survey;;151243;210889;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;4/05/2020
ANTWERPEN-WEST - FH11;6443434;33498574;;Site Survey;BL1113;;Verlatstraat;15;A;Y;NA;4;2;;;;;Antwerpen;6443434;SDU;0;1;0;1;Site Survey;;151695;211154;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1326103;616593;;Site Survey;BL1114;;Museumstraat;5;;Y;NA;5;3;_;;;;Antwerpen;1326103;SDU;0;1;0;1;Site Survey;;151605;211130;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;14/05/2020
ANTWERPEN-WEST - FH11;2062554;684333;;Site Survey;BL1102;;Waalsekaai;60;;N;ORN;4;5;_;;;;Antwerpen;2062554;MDU;2;7;1;10;Site Survey;;151234;210880;;;;;Maayken Vanfleteren;BUILDING template;Jalo bvba;;;;32570000;4/05/2020;beheer@jalo.be;Het Park;;4/05/2020
ANTWERPEN-WEST - FH11;6444355;33498884;;Site Survey;BL1102;;Waalsekaai;60;A;Y;NA;4;2;;;;;Antwerpen;6444355;SDU;0;1;0;1;Site Survey;;151235;210881;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1340349;14151212;;Site Survey;BL1115;;Museumstraat;40;;N;ORN;4;4;_;;;;Antwerpen;1340349;MDU;0;9;1;10;Site Survey;;151683;211041;;;;;Hidde Kiekens;BUILDING template;Beheer;;;;;6/05/2020;;;Museumstraat 36-38-40;6/05/2020
ANTWERPEN-WEST - FH11;2062556;14151244;;Site Survey;BL1102;;Waalsekaai;61;;Y;NA;4;3;_;;;;Antwerpen;2062556;SDU;1;0;0;1;Site Survey;;151227;210872;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;4/05/2020
ANTWERPEN-WEST - FH11;6454994;33498376;;Site Survey;BL1115;;De Burburestraat;5;A;Y;NA;4;2;;;;;Antwerpen;6454994;SDU;0;1;0;1;Site Survey;;151572;211078;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;NB-20002421af14;;;Site Survey;;;Scheldestraat;24;;Y;NA;3;4;_;;;;Antwerpen;NB-20002421af14;SDU;1;0;0;1;Site Survey;;151625;211434;11/05/2020;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1346848;617008;;Site Survey;BL1114;;Museumstraat;3;;N;ORN;4;4;_;;;;Antwerpen;1346848;MDU;1;3;0;4;Site Survey;;151602;211134;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;14/05/2020
ANTWERPEN-WEST - FH11;2062827;684530;;Site Survey;BL1114;;Leopold de Waelplaats;6;;Y;NA;5;4;_;;;;Antwerpen;2062827;MDU;2;1;0;3;Site Survey;;151736;211072;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;14/05/2020
ANTWERPEN-WEST - FH11;6483421;33498404;;Site Survey;BL1119;;Jan van Gentstraat;25;;Y;NA;3;4;_;;;;Antwerpen;6483421;MDU;1;0;1;2;Site Survey;;151340;210606;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;NB-200026509b75;;;Site Survey;;;Cockerillkaai;26;;N;GLASS;;6;_;;;;Antwerpen;NB-200026509b75;MDU;3;0;1;4;Site Survey;;151421;211221;15/05/2020;;;;Maayken Vanfleteren;BUILDING template;Group-L;;;;475498720;15/05/2020;;;;
ANTWERPEN-WEST - FH11;1451319;618342;;Site Survey;BL1113;;Verlatstraat;37;;N;IRREG;4;4;_;;;;Antwerpen;1451319;MDU;0;4;0;4;Site Survey;;151744;211117;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;12/05/2020
ANTWERPEN-WEST - FH11;2062828;684531;;Site Survey;BL1114;;Leopold de Waelplaats;8;;Y;NA;5;4;_;;;;Antwerpen;2062828;MDU;1;3;0;4;Site Survey;;151736;211064;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;14/05/2020
ANTWERPEN-WEST - FH11;6518705;33498563;;Site Survey;BL1111;;Timmerwerfstraat;29;A;Y;NA;3;3;_;;;;Antwerpen;6518705;SDU;0;1;0;1;Site Survey;;151589;211349;;;;;Geert Stockman;BUILDING template;;;;;;;;;;11/05/2020
ANTWERPEN-WEST - FH11;1466296;618639;;Site Survey;BL1117;;Pourbusstraat;10;;Y;NA;3;4;_;;;;Antwerpen;1466296;SDU;0;1;0;1;Site Survey;;151507;210977;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;2062829;684532;;Site Survey;BL1114;;Leopold de Waelplaats;10;;Y;NA;5;4;_;;;;Antwerpen;2062829;MDU;2;0;0;2;Site Survey;;151729;211058;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;14/05/2020
ANTWERPEN-WEST - FH11;6524938;33498576;;Site Survey;BL1113;;Verlatstraat;25;;N;GLASS;4;5;_;;;;Antwerpen;6524938;MDU;10;0;1;11;Site Survey;;151717;211154;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;12/05/2020
ANTWERPEN-WEST - FH11;1482441;618930;;Site Survey;BL1115;;Museumstraat;14;;Y;NA;6;6;_;;;;Antwerpen;1482441;MDU;0;8;1;9;Site Survey;;151623;211052;;;;;Hidde Kiekens;BUILDING template;Syncura;;;;;6/05/2020;;;Museumstraat 12-12A-12B-12C-12D-14-14A;6/05/2020
ANTWERPEN-WEST - FH11;2062832;684533;;Site Survey;BL1115;;Leopold de Waelplaats;24;B;Y;NA;4;2;;;;;Antwerpen;2062832;SDU;1;0;0;1;Site Survey;;151662;211023;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;6525263;33498825;;Site Survey;BL1105;;Waalsekaai;41;;Y;NA;4;2;;;;;Antwerpen;6525263;SDU;0;1;0;1;Site Survey;;151353;211056;;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1482664;618931;;Site Survey;BL1113;;Verlatstraat;7;;Y;NA;4;3;_;;;;Antwerpen;1482664;MDU;0;4;0;4;Site Survey;;151659;211184;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;12/05/2020
ANTWERPEN-WEST - FH11;2063174;684838;;Site Survey;BL1108;;Wapenstraat;6;;N;IRREG;0;5;;XC;;;Antwerpen;2063174;MDU;0;7;0;7;Site Survey;Y;151399;211215;18/03/2020 8:50;Y;;;Steffen Verhofsté;BUILDING template;Onbekend;;;;;18/03/2020;;;;
ANTWERPEN-WEST - FH11;6582697;33498604;;Site Survey;BL1105;;Visserskaai;10;A;Y;NA;3;4;_;;;;Antwerpen;6582697;SDU;0;1;0;1;Site Survey;;151365;211076;;;;;Geert Stockman;BUILDING template;;;;;;;;;;3/05/2020
ANTWERPEN-WEST - FH11;1483358;618940;;Site Survey;BL1116;;Vlaamsekaai;49;;Y;NA;3;6;_;;;;Antwerpen;1483358;SDU;1;0;0;1;Site Survey;;151499;211017;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;2063175;684839;;Site Survey;BL1108;;Wapenstraat;16;;Y;NA;4;2;;;;;Antwerpen;2063175;SDU;1;0;0;1;Site Survey;;151468;211209;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;6609786;33498401;;Site Survey;BL1119;;Jan van Gentstraat;21;;Y;NA;4;2;;;;;Antwerpen;6609786;SDU;0;1;0;1;Site Survey;;151331;210633;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1492179;619010;;Site Survey;BL1115;;Museumstraat;4;;Y;NA;3;3;_;;;;Antwerpen;1492179;MDU;1;1;1;3;Site Survey;;151585;211112;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;30249;690462;;Site Survey;BL1118;;Pacificatiestraat;25;;Y;NA;3;4;_;;;;Antwerpen;30249;MDU;0;4;0;4;Site Survey;;151366;210709;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;6626034;33498760;;Site Survey;BL1110;;Waalsekaai;19;A;Y;NA;3;4;_;;;;Antwerpen;6626034;SDU;1;0;0;1;Site Survey;;151541;211263;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;1506081;619286;;Site Survey;BL1115;;De Burburestraat;17;;Y;NA;3;5;_;;;;Antwerpen;1506081;MDU;1;4;0;5;Site Survey;;151613;211032;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;30322;14151245;;Site Survey;BL1114;;Verlatstraat;16;;Y;NA;3;2;_;;;;Antwerpen;30322;SDU;1;0;0;1;Site Survey;;151683;211120;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;14/05/2020
ANTWERPEN-WEST - FH11;6667252;33498350;;Site Survey;BL1109;;Cockerillkaai;20;;N;ORN;4;4;_;;;;Antwerpen;6667252;MDU;1;0;0;1;Site Survey;;151447;211279;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;leuvenstraat 32_Cockerillkaai 20_wapenstraat zn;
ANTWERPEN-WEST - FH11;1514324;619419;;Site Survey;BL1115;;De Burburestraat;37;;N;ORN;4;6;_;;;;Antwerpen;1514324;MDU;0;10;1;11;Site Survey;;151662;211023;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;30326;690484;;Site Survey;BL1113;;Verlatstraat;17;;Y;NA;4;3;_;;;;Antwerpen;30326;MDU;0;2;0;2;Site Survey;;151701;211153;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;12/05/2020
ANTWERPEN-WEST - FH11;6667253;33498407;;Site Survey;BL1104;;Lakenstraat;18;;Y;NA;4;2;;;;;Antwerpen;6667253;SDU;0;1;0;1;Site Survey;;151333;211027;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;NB-200027e37681;;;Site Survey;;;Cockerillkaai;27;;N;GLASS;;6;_;;;;Antwerpen;NB-200027e37681;MDU;0;4;1;5;Site Survey;;151420;211217;15/05/2020;;;;Maayken Vanfleteren;BUILDING template;Anker 18 Management;;;;32050250;15/05/2020;beheer@anker18.be;;;
ANTWERPEN-WEST - FH11;1785473;633160;;Site Survey;BL1116;;De Burburestraat;2;A;Y;NA;3;4;_;;;;Antwerpen;1785473;MDU;1;2;0;3;Site Survey;;151545;211045;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;30348;690493;;Site Survey;BL1122;;Van der Sweepstraat;12;;N;IRREG;4;14;Gebouw staat leeg. Geen aanplakbiljet voorzien;;;;Antwerpen;30348;MDU;0;56;2;58;Site Survey;;151195;210725;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;Van Der Sweepstraat 12-14;
ANTWERPEN-WEST - FH11;6667254;33498450;;Site Survey;BL1107;;Luikstraat;4;A;Y;NA;4;2;;;;;Antwerpen;6667254;SDU;0;1;0;1;Site Survey;;151396;211177;;;;;Geert Stockman;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1785485;633161;;Site Survey;BL1116;;De Burburestraat;4;;Y;NA;3;4;_;;;;Antwerpen;1785485;SDU;1;0;0;1;Site Survey;;151558;211039;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;32822;690618;;Site Survey;BL1114;;Leopold de Waelplaats;16;;Y;NA;5;4;_;;;;Antwerpen;32822;SDU;1;0;0;1;Site Survey;;151721;211045;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;14/05/2020
ANTWERPEN-WEST - FH11;968547;33498471;;Site Survey;BL1102;;Namenstraat;19;;Y;NA;4;4;_;;;;Antwerpen;968547;MDU;1;6;1;8;Site Survey;;151211;210847;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;4/05/2020
ANTWERPEN-WEST - FH11;1785493;633162;;Site Survey;BL1116;;De Burburestraat;6;;Y;NA;3;6;_;;;;Antwerpen;1785493;SDU;1;0;0;1;Site Survey;;151568;211019;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;33404;690631;;Site Survey;BL1118;;Pacificatiestraat;23;;Y;NA;3;3;_;;;;Antwerpen;33404;MDU;0;3;0;3;Site Survey;;151361;210710;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;968686;33498354;;Site Survey;BL1108;;Cockerillkaai;25;;Y;NA;4;2;;;;;Antwerpen;968686;SDU;0;1;0;1;Site Survey;;151416;211240;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1785513;14151213;;Site Survey;BL1115;;De Burburestraat;7;;N;GLASS;4;4;_;;;;Antwerpen;1785513;MDU;1;11;1;13;Site Survey;;151583;211071;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;De burburestraat 7-9;6/05/2020
ANTWERPEN-WEST - FH11;3926591;690923;;Site Survey;BL1119;;Jan van Gentstraat;27;;Y;NA;4;4;_;;;;Antwerpen;3926591;MDU;0;4;0;4;Site Survey;;151339;210601;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;968689;33498929;;Site Survey;BL1108;;Cockerillkaai;31;;N;GLASS;4;6;_;;;;Antwerpen;968689;MDU;1;0;0;1;Site Survey;;151411;211220;;;;;Maayken Vanfleteren;BUILDING template;Group-L;;;;475498720;15/05/2020;;;Cockerillkaai 26-27-28-31_Luikstraat 1-3_Wapenstraat 6;15/05/2020
ANTWERPEN-WEST - FH11;1785555;14151214;;Site Survey;BL1115;;De Burburestraat;9;;N;GLASS;4;4;_;;;;Antwerpen;1785555;MDU;1;0;0;1;Site Survey;;151583;211071;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;De burburestraat 7-9;6/05/2020
ANTWERPEN-WEST - FH11;3926659;690924;;Site Survey;BL1104;;De Gerlachekaai;13;;N;IRREG;0;5;;XC;;;Antwerpen;3926659;MDU;0;15;0;15;Site Survey;Y;151268;211049;17/03/2020 12:50;Y;;;Steffen Verhofsté;BUILDING template;De ideale woning;;;;33202970;17/03/2020;;;;
ANTWERPEN-WEST - FH11;968690;33498365;;Site Survey;BL1106;;Cockerillkaai;39;;N;IRREG;4;7;_;;;;Antwerpen;968690;MDU;1;0;2;3;Site Survey;;151358;211125;;;;;Maayken Vanfleteren;BUILDING template;FOD Justitie;;;;;15/05/2020;tom.hoorens@just.fgov.be;;Cockerillkaai 39_Waalse Kaai 35A;
ANTWERPEN-WEST - FH11;NB-2000321b370;;;Site Survey;;;Gentplaats;3;;Y;NA;5;35;_;;;;Antwerpen;NB-2000321b370;SDU;0;1;0;1;Site Survey;;151299;210714;15/05/2020;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;;
ANTWERPEN-WEST - FH11;1785560;633164;;Site Survey;BL1116;;De Burburestraat;10;;Y;NA;3;3;_;;;;Antwerpen;1785560;SDU;0;1;0;1;Site Survey;;151589;211013;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
ANTWERPEN-WEST - FH11;3928368;691245;;Site Survey;BL1111;;Scheldestraat;10;;Y;NA;3;6;Review Required;;;;Antwerpen;3928368;MDU;0;10;1;11;Site Survey;;151587;211460;;;;;Geert Stockman;BUILDING template;;;;;;;;;;11/05/2020
ANTWERPEN-WEST - FH11;968813;33498567;;Site Survey;BL1122;;Van der Sweepstraat;14;;N;IRREG;4;14;Gebouw wordt gesloopt. Geen aanplakbiljet;;;;Antwerpen;968813;MDU;0;56;2;58;Site Survey;;151205;210719;;;;;Maayken Vanfleteren;BUILDING template;;;;;;;;;Van Der Sweepstraat 12-14;
ANTWERPEN-WEST - FH11;1785562;633165;;Site Survey;BL1115;;De Burburestraat;11;;Y;NA;3;4;_;;;;Antwerpen;1785562;MDU;2;9;0;11;Site Survey;;151595;211055;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;3928577;691347;;Site Survey;BL1118;;Vlaamsekaai;70;;Y;NA;3;5;_;;;;Antwerpen;3928577;MDU;1;4;0;5;Site Survey;;151364;210841;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;7/05/2020
ANTWERPEN-WEST - FH11;969129;33498675;;Site Survey;BL1115;;Vlaamsekaai;41;;Y;NA;3;4;_;;;;Antwerpen;969129;SDU;1;0;0;1;Site Survey;;151549;211084;;;;;Hidde Kiekens;BUILDING template;;;;;;;;;;6/05/2020
ANTWERPEN-WEST - FH11;1785578;633166;;Site Survey;BL1116;;De Burburestraat;12;;Y;NA;3;4;_;;;;Antwerpen;1785578;MDU;0;2;0;2;Site Survey;;151593;211009;;;;;Geert Stockman;BUILDING template;;;;;;;;;;2/05/2020
