File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
11;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;615628;'20200225094429;1287193;'1630000;'10177;Godefriduskaai;'16;';2000;Antwerpen;;'152618,386;'213105,443;;N;MON;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';;;;SU;1;'SU1;'SU1;';'0;MDU;SU1;SU1;;0;;;;;;;B;BOWN;;;;;N;NEW;;;';1287193;
12;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644805;'20190301103731;1905577;'1630000;'10177;Godefriduskaai;'30;';2000;Antwerpen;;'152723,811;'213104,302;;Y;MON;7;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1744836;;BU;1;';';';';;;;;;;Y;;HIST;HISTORISCH GEBOUW - BATIMENT HISTORIQUE;NA;;;;;;;N;KEEP;;;';1905577;1744836
13;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;716957;'20191006010430;62442;'1630000;'10177;Godefriduskaai;'32;';2000;Antwerpen;;'152757,34;'213105,412;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;11184269;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;;;NA;;;;;;;N;MODIFY;;;';62442;11184269
14;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;716957;'20191006010430;62442;'1630000;'10177;Godefriduskaai;'32;';2000;Antwerpen;;'152757,34;'213105,412;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1751692;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;MODIFY;;;';62442;1751692
15;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;716957;'20191006010430;62442;'1630000;'10177;Godefriduskaai;'32;';2000;Antwerpen;;'152757,34;'213105,412;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11077167;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;;;;NA;;;;;;;N;MODIFY;;;';62442;11077167
16;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;716957;'20191006010430;62442;'1630000;'10177;Godefriduskaai;'32;';2000;Antwerpen;;'152757,34;'213105,412;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;11077168;;SU;1;'SU1;'SU1;';'0;MDU;SU1;SU1;;0;;Y;;;;NA;;;;;;;N;MODIFY;;;';62442;11077168
17;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;707108;'20190705082404;4510651;'1630000;'10177;Godefriduskaai;'34;';2000;Antwerpen;;'152765,038;'213105,708;;Y;NA;5;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1757718;;LU;1;';';';';;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';4510651;1757718
18;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';7;1804835;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;#HA.GV/K-S4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';1905601;1804835
19;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';1;1804371;;LU;1;'2;'2;';'0;MDU;2;2;;0;;Y;#A1/LOFT 1A/S6;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';1905601;1804371
20;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';2;1804372;;LU;1;'3;'3;';'0;MDU;3;3;;0;;Y;#A1/LOFT 1B/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';1905601;1804372
21;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';3;1804373;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;#A1/LOFT 1C/S5;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';1905601;1804373
22;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';4;1804393;;LU;1;'102;'102;';'1;MDU;102;102;;1;;Y;#A2-A3/LOFT 2A/S1;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';1905601;1804393
23;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';;;;LU;1;'201;'201;';'2;MDU;201;201;;2;;;;;;;;;;;;;N;NEW;;;';1905601;
24;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';;;;LU;1;'202;'202;';'2;MDU;202;202;;2;;;;;;;;;;;;;N;NEW;;;';1905601;
25;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644806;'20191004142305;1905601;'1630000;'10177;Godefriduskaai;'50;';2000;Antwerpen;;'152935,841;'213113,906;;N;MON;3;12;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';8;11077169;;SU;1;'SU1;'SU1;';'0;MDU;SU1;SU1;;0;;Y;;;;APPART;;;;;;;N;MODIFY;;;';1905601;11077169
26;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644807;'20190301110227;1905643;'1630000;'10177;Godefriduskaai;'52;';2000;Antwerpen;;'152953,295;'213114,562;;N;IRREG;5;12;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;10364773;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;INDU;NIJVERHEIDSGEBOUW - ENTREPRISE INDUSTRIELLE;NA;;;;;;;N;MODIFY;;;';1905643;10364773
27;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644807;'20190301110227;1905643;'1630000;'10177;Godefriduskaai;'52;';2000;Antwerpen;;'152953,295;'213114,562;;N;IRREG;5;12;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1809168;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';1905643;1809168
28;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;644807;'20190301110227;1905643;'1630000;'10177;Godefriduskaai;'52;';2000;Antwerpen;;'152953,295;'213114,562;;N;IRREG;5;12;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1809169;;LU;1;'301;'301;';'3;MDU;301;301;;3;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;MODIFY;;;';1905643;1809169
29;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;707105;'20190705082404;4510637;'1630000;'10177;Godefriduskaai;'54;';2000;Antwerpen;;'152960,238;'213114,844;;N;ORN;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';1;1812676;;LU;1;'1;'1;';'0;MDU;1;1;;0;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;MODIFY;;;';4510637;1812676
30;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;707105;'20190705082404;4510637;'1630000;'10177;Godefriduskaai;'54;';2000;Antwerpen;;'152960,238;'213114,844;;N;ORN;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';2;11077170;;LU;1;'101;'101;';'1;MDU;101;101;;1;;Y;;;;NA;;;;;;;N;MODIFY;;;';4510637;11077170
31;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;707105;'20190705082404;4510637;'1630000;'10177;Godefriduskaai;'54;';2000;Antwerpen;;'152960,238;'213114,844;;N;ORN;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';3;11077171;;LU;1;'201;'201;';'2;MDU;201;201;;2;;Y;;;;NA;;;;;;;N;MODIFY;;;';4510637;11077171
32;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;707105;'20190705082404;4510637;'1630000;'10177;Godefriduskaai;'54;';2000;Antwerpen;;'152960,238;'213114,844;;N;ORN;4;0;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';4;11077172;;LU;1;'301;'301;';'3;MDU;301;301;;3;;Y;;;;NA;;;;;;;N;MODIFY;;;';4510637;11077172
33;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;716826;'20200224131424;62059;'1630000;'10177;Godefriduskaai;'56;';2000;Antwerpen;;'152965,642;'213120,495;;N;ORN;6;4;Unknown;Unknown;;None;;;;;;;Y;DELETE;;;';1;1815785;;LU;0;';';';';;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;DELETE;;;';62059;1815785
34;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;716826;'20200224131424;62059;'1630000;'10177;Godefriduskaai;'56;';2000;Antwerpen;;'152965,642;'213120,495;;N;ORN;6;4;Unknown;Unknown;;None;;;;;;;Y;DELETE;;;';2;1815786;;LU;0;';';';';;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;DELETE;;;';62059;1815786
35;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';1;1638218;;BU;1;'1;'1;';'0;MDU;1;1;;0;;Y;#A5/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;MODIFY;;;';62443;1638218
36;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';10;10410918;;BU;1;'101;'101;';'1;MDU;101;101;;1;;Y;#A.GV/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;MODIFY;;;';62443;10410918
37;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';2;1638259;;BU;1;'201;'201;';'2;MDU;201;201;;2;;Y;#A6/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;MODIFY;;;';62443;1638259
38;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';6;10410765;;BU;1;'301;'301;';'3;MDU;301;301;;3;;Y;#A1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;MODIFY;;;';62443;10410765
39;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';7;10410783;;BU;1;'401;'401;';'4;MDU;401;401;;4;;Y;#A2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;MODIFY;;;';62443;10410783
40;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';8;10410799;;BU;1;'501;'501;';'5;MDU;501;501;;5;;Y;#A3/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;MODIFY;;;';62443;10410799
41;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';9;10410809;;BU;1;'601;'601;';'6;MDU;601;601;;6;;Y;#A4/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;MODIFY;;;';62443;10410809
42;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093736;'20190705082426;62443;'1630000;'10177;Godefriduskaai;'12;';2000;Antwerpen;;'152597,612;'213101,415;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';;;;SU;1;'SU1;'SU1;';'0;MDU;SU1;SU1;;0;;;;;;;B;BOWN;;;;;N;NEW;;;';62443;
43;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;7093735;'20190301103654;62440;'1630000;'10177;Godefriduskaai;'36;';2000;Antwerpen;;'152784,134;'213106,67;;Y;MON;6;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;10410502;;BU;1;';';';';;;;;;;Y;;INDU;NIJVERHEIDSGEBOUW - ENTREPRISE INDUSTRIELLE;NA;;;;;;;N;KEEP;;;';62440;10410502
44;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196644;'20200225094442;62438;'1630000;'10177;Godefriduskaai;'14;';2000;Antwerpen;;'152612,027;'213104,654;;Y;NA;1;4;Unknown;Unknown;;None;;;;;;;Y;DELETE;;;';1;11076543;;BU;0;';';';';;;;;;;;;;;;;;;;;;N;DELETE;;;';62438;11076543
45;;;Zoning;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;8105287;'20200129084255;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;';';;;;;;;11196646;'20190705082411;62441;'1630000;'10177;Godefriduskaai;'38;';2000;Antwerpen;;'152902,436;'213111,654;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;11076558;;BU;1;';';';';;;;;;;;;;;;;;;;;;N;KEEP;;;';62441;11076558
